"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit"
"ru.ifmo.mpp.jmh.Benchmarks.incThreadCount","thrpt",7,50,"0,560155","0,003114","ops/ns"
"ru.ifmo.mpp.jmh.FalseSharing.baseline","thrpt",8,50,"0,891864","0,015785","ops/ns"
"ru.ifmo.mpp.jmh.FalseSharing.baseline:reader","thrpt",8,50,"0,225262","0,013958","ops/ns"
"ru.ifmo.mpp.jmh.FalseSharing.baseline:writer","thrpt",8,50,"0,666602","0,015412","ops/ns"
"ru.ifmo.mpp.jmh.FalseSharing.padded","thrpt",8,50,"0,951062","0,009996","ops/ns"
"ru.ifmo.mpp.jmh.FalseSharing.padded:reader","thrpt",8,50,"0,297237","0,007054","ops/ns"
"ru.ifmo.mpp.jmh.FalseSharing.padded:writer","thrpt",8,50,"0,653824","0,014832","ops/ns"
"ru.ifmo.mpp.jmh.Locks.lockBenchmark","thrpt",7,50,"0,034119","0,000488","ops/ns"
"ru.ifmo.mpp.jmh.Locks.lockThreads","thrpt",7,50,"0,102743","0,001376","ops/ns"
"ru.ifmo.mpp.jmh.Locks.syncronizedBenchmark","thrpt",7,50,"0,024535","0,000353","ops/ns"
"ru.ifmo.mpp.jmh.Locks.syncronizedThread","thrpt",7,50,"0,101848","0,000409","ops/ns"
"ru.ifmo.mpp.jmh.Locks.volatileBenchmark","thrpt",7,50,"0,623188","0,002274","ops/ns"
"ru.ifmo.mpp.jmh.Locks.volatileThread","thrpt",7,50,"0,212853","0,000820","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.baselineBenchmark","thrpt",8,50,"0,551731","0,018850","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.baselineBenchmark:reader","thrpt",8,50,"0,056110","0,004479","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.baselineBenchmark:writer","thrpt",8,50,"0,495621","0,020355","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.baselineThread","thrpt",8,50,"0,959346","0,009706","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.baselineThread:reader","thrpt",8,50,"0,297931","0,005994","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.baselineThread:writer","thrpt",8,50,"0,661415","0,013475","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.volatileBenchmark","thrpt",8,50,"0,546124","0,014312","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.volatileBenchmark:reader","thrpt",8,50,"0,060990","0,005269","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.volatileBenchmark:writer","thrpt",8,50,"0,485134","0,015887","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.volatileThread","thrpt",8,50,"0,499102","0,011100","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.volatileThread:reader","thrpt",8,50,"0,362764","0,009426","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.volatileThread:writer","thrpt",8,50,"0,136338","0,004200","ops/ns"
