"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit"
"ru.ifmo.mpp.jmh.Benchmarks.incThreadCount","thrpt",2,50,"0,460022","0,044503","ops/ns"
"ru.ifmo.mpp.jmh.FalseSharing.baseline","thrpt",2,50,"0,479874","0,052600","ops/ns"
"ru.ifmo.mpp.jmh.FalseSharing.baseline:reader","thrpt",2,50,"0,134332","0,053173","ops/ns"
"ru.ifmo.mpp.jmh.FalseSharing.baseline:writer","thrpt",2,50,"0,345543","0,006056","ops/ns"
"ru.ifmo.mpp.jmh.FalseSharing.padded","thrpt",2,50,"0,608530","0,016567","ops/ns"
"ru.ifmo.mpp.jmh.FalseSharing.padded:reader","thrpt",2,50,"0,264987","0,021664","ops/ns"
"ru.ifmo.mpp.jmh.FalseSharing.padded:writer","thrpt",2,50,"0,343543","0,005950","ops/ns"
"ru.ifmo.mpp.jmh.Locks.lockBenchmark","thrpt",2,50,"0,006490","0,001682","ops/ns"
"ru.ifmo.mpp.jmh.Locks.lockThreads","thrpt",2,50,"0,068321","0,003677","ops/ns"
"ru.ifmo.mpp.jmh.Locks.syncronizedBenchmark","thrpt",2,50,"0,016866","0,003471","ops/ns"
"ru.ifmo.mpp.jmh.Locks.syncronizedThread","thrpt",2,50,"0,059099","0,000709","ops/ns"
"ru.ifmo.mpp.jmh.Locks.volatileBenchmark","thrpt",2,50,"0,608877","0,035986","ops/ns"
"ru.ifmo.mpp.jmh.Locks.volatileThread","thrpt",2,50,"0,215871","0,019972","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.baselineBenchmark","thrpt",2,50,"0,397626","0,009993","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.baselineBenchmark:reader","thrpt",2,50,"0,048406","0,003810","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.baselineBenchmark:writer","thrpt",2,50,"0,349220","0,007926","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.baselineThread","thrpt",2,50,"0,598067","0,023763","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.baselineThread:reader","thrpt",2,50,"0,257187","0,024446","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.baselineThread:writer","thrpt",2,50,"0,340880","0,009515","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.volatileBenchmark","thrpt",2,50,"0,396807","0,009313","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.volatileBenchmark:reader","thrpt",2,50,"0,047384","0,002553","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.volatileBenchmark:writer","thrpt",2,50,"0,349423","0,008229","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.volatileThread","thrpt",2,50,"0,385609","0,021033","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.volatileThread:reader","thrpt",2,50,"0,271981","0,018347","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.volatileThread:writer","thrpt",2,50,"0,113628","0,004955","ops/ns"
